condition_name,split_name,optimizer_name,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
A3_D1,iid,adamw,0.9308016877637131,0.03801712398883689,0.06872805746126841
A3_D1,iid,fedprox,0.45288326300984527,0.06590303551626864,0.08446438224165076
A3_D1,dirichlet_0_5,sgd,0.45147679324894513,0.06492742710075294,0.0798814308209358
A3_D1,dirichlet_0_5,adamw,0.9156118143459916,0.02245994852635036,0.03796179985183754
A3_D1,dirichlet_0_5,fedprox,0.45625879043600565,0.062180608477350074,0.07623269642059749
A3_D1,strict_non_iid,sgd,0.4511954992967651,0.06639427496492611,0.08216996874192106
A3_D1,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A3_D1,strict_non_iid,fedprox,0.44922644163150494,0.06576116006711086,0.08079214552633429
A3_D2,iid,sgd,0.45625879043600565,0.06267184792600766,0.07668805377329668
A3_D2,iid,adamw,0.9324894514767933,0.028801059703112752,0.05467194898057783
A3_D2,iid,fedprox,0.45569620253164556,0.06316308737466525,0.07622682084185295
A3_D2,dirichlet_0_5,sgd,0.4568213783403657,0.06492055661895346,0.08493149075183903
A3_D2,dirichlet_0_5,adamw,0.8638537271448664,0.024267915811864216,0.07303931937295827
A3_D2,dirichlet_0_5,fedprox,0.45288326300984527,0.06268558888960651,0.08102276199205616
A3_D2,strict_non_iid,sgd,0.4579465541490858,0.0622256101331361,0.07784113610190602
A3_D2,strict_non_iid,adamw,0.5510548523206751,0.03517755386114206,0.038142171546365185
A3_D2,strict_non_iid,fedprox,0.460196905766526,0.06143687882256432,0.07578909022538716
A3_D3,iid,sgd,0.4542897327707454,0.06360245468573733,0.07691279466027401
A3_D3,iid,adamw,0.9254571026722925,0.030786628943141214,0.0643476020227397
A3_D3,iid,fedprox,0.45344585091420536,0.0630143414437081,0.07622682084185295
A3_D3,dirichlet_0_5,sgd,0.45344585091420536,0.0662905306897551,0.07828474229711624
A3_D3,dirichlet_0_5,adamw,0.7789029535864979,0.033002702847539866,0.08684252273848969
A3_D3,dirichlet_0_5,fedprox,0.4537271448663854,0.066536150414084,0.08148987050224443
A3_D3,strict_non_iid,sgd,0.44950773558368495,0.06590303551626864,0.07644568615008573
A3_D3,strict_non_iid,adamw,0.5175808720112518,0.0,0.0
A3_D3,strict_non_iid,fedprox,0.44978902953586497,0.06514865661469371,0.08443500434792828
A4_D3,iid,sgd,0.4542897327707454,0.0632599611680369,0.07531023055770991
A4_D3,iid,adamw,0.9319268635724332,0.009901394845214906,0.036750732760009015
A4_D3,iid,fedprox,0.45569620253164556,0.061599365717120214,0.07462425673928885
A4_D3,dirichlet_0_5,sgd,0.45935302390998595,0.060803763924748955,0.0712061388046723
A4_D3,dirichlet_0_5,adamw,0.8168776371308016,0.01362244778777355,0.047523149780253404
A4_D3,dirichlet_0_5,fedprox,0.45344585091420536,0.06506930254991061,0.08080389668382337
A4_D3,strict_non_iid,sgd,0.46047819971870607,0.06407995317079607,0.07761639521492869
A4_D3,strict_non_iid,adamw,0.6137834036568214,0.2994523538957693,0.4126418952266798
A4_D3,strict_non_iid,fedprox,0.4568213783403657,0.057043205711843736,0.0657065970998143
A4_D4,iid,sgd,0.45569620253164556,0.06183811495964964,0.07623269642059749
A4_D4,iid,adamw,0.9310829817158931,0.025396735971506712,0.05543208683608722
A4_D4,iid,fedprox,0.4559774964838256,0.06169623951049197,0.07393828292086779
A4_D4,dirichlet_0_5,sgd,0.45457102672292543,0.05930565536838839,0.07164386942113798
A4_D4,dirichlet_0_5,adamw,0.9277074542897328,0.00605770380253684,0.04620848903617014
A4_D4,dirichlet_0_5,fedprox,0.45541490857946554,0.06413869579018094,0.07554084702343189
A4_D4,strict_non_iid,sgd,0.45879043600562586,0.058406309300846115,0.07166737173611604
A4_D4,strict_non_iid,adamw,0.7170182841068917,0.17794650917690252,0.18525993560365694
A4_D4,strict_non_iid,fedprox,0.4531645569620253,0.06462993523883864,0.08240646078638747
A4_D5,iid,sgd,0.45654008438818566,0.06257497413263602,0.07829061787586078
A4_D5,iid,adamw,0.9251758087201125,0.00775643042744012,0.040241838821123865
A4_D5,iid,fedprox,0.4571026722925457,0.05998377192198989,0.07027779736304018
A4_D5,dirichlet_0_5,sgd,0.45625879043600565,0.06340183661719456,0.07623269642059749
A4_D5,dirichlet_0_5,adamw,0.8992967651195499,0.0522218451091101,0.09515251070956934
A4_D5,dirichlet_0_5,fedprox,0.4531645569620253,0.06649114875829787,0.08171461138922187
A4_D5,strict_non_iid,sgd,0.45232067510548524,0.06200060185420553,0.08445850666290622
A4_D5,strict_non_iid,adamw,0.49985935302391,0.021514570230751984,0.023126227976938196
A4_D5,strict_non_iid,fedprox,0.4520393811533052,0.06668489634504116,0.0826312016733648
A5_D3,iid,sgd,0.45457102672292543,0.06419056792776656,0.07920133258125928
A5_D3,iid,adamw,0.9344585091420534,0.013319459540419742,0.037916706928205625
