run_index,run_key,category,condition_name,attack,defense,split_name,optimizer_name,protected_attr,seed,stopped_reason,finished_round,total_duration_sec,final_val_accuracy,final_val_demographic_parity_gap,final_val_equalized_odds_gap
94,r094__A2_D2__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,dirichlet_0_5,sgd,race_bin,42,completed,30,231.60324883460999,0.45147679324894513,0.05745131233072853,0.07347117441067941
95,r095__A2_D2__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,dirichlet_0_5,adamw,race_bin,42,completed,30,242.03243327140808,0.8790436005625879,0.07146022471971869,0.11611427835217575
96,r096__A2_D2__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,dirichlet_0_5,fedprox,race_bin,42,completed,30,255.74788737297058,0.4542897327707454,0.06698238820695535,0.08400314931020703
97,r097__A2_D2__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,strict_non_iid,sgd,race_bin,42,completed,30,238.03223657608032,0.45147679324894513,0.06571615841132472,0.08559983783402669
98,r098__A2_D2__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,strict_non_iid,adamw,race_bin,42,completed,30,242.7854359149933,0.5175808720112518,0.0,0.0
99,r099__A2_D2__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D2,A2,D2,strict_non_iid,fedprox,race_bin,42,completed,30,246.89994192123413,0.45457102672292543,0.05945440129934554,0.07301581705798021
100,r100__A2_D3__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,iid,sgd,race_bin,42,completed,30,256.1393139362335,0.45457102672292543,0.06663302420745554,0.08423964135467343
101,r101__A2_D3__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,iid,adamw,race_bin,42,completed,30,252.91302371025085,0.9341772151898734,0.03057226991099976,0.05912970657390408
102,r102__A2_D3__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,iid,fedprox,race_bin,42,completed,30,256.2181406021118,0.45625879043600565,0.06335683496140843,0.07989318197842488
103,r103__A2_D3__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,dirichlet_0_5,sgd,race_bin,42,completed,30,260.7737708091736,0.4548523206751055,0.06223248061493558,0.07645743730757482
104,r104__A2_D3__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,dirichlet_0_5,adamw,race_bin,42,completed,30,255.08622932434082,0.8461322081575247,0.0035726505356915017,0.026287339302921264
105,r105__A2_D3__split_dirichlet_0_5__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,dirichlet_0_5,fedprox,race_bin,42,completed,30,238.29674196243286,0.4517580872011252,0.06399682034102327,0.07438776469482244
106,r106__A2_D3__split_strict_non_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,strict_non_iid,sgd,race_bin,42,completed,30,234.40674376487732,0.4540084388185654,0.06652927993228452,0.07829061787586078
107,r107__A2_D3__split_strict_non_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,strict_non_iid,adamw,race_bin,42,completed,30,250.22527265548706,0.5144866385372715,0.0043005780823386075,0.005310054290347602
108,r108__A2_D3__split_strict_non_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A2_D3,A2,D3,strict_non_iid,fedprox,race_bin,42,completed,30,237.59484457969666,0.44978902953586497,0.06556741248036757,0.08399727373146249
109,r109__A3_D1__split_iid__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,iid,sgd,race_bin,42,completed,30,240.4152295589447,0.4548523206751055,0.06482368282558182,0.08034853933112418
110,r110__A3_D1__split_iid__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,iid,adamw,race_bin,42,completed,30,237.12690114974976,0.9308016877637131,0.03801712398883689,0.06872805746126841
111,r111__A3_D1__split_iid__opt_fedprox__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,iid,fedprox,race_bin,42,completed,30,237.630469083786,0.45288326300984527,0.06590303551626864,0.08446438224165076
112,r112__A3_D1__split_dirichlet_0_5__opt_sgd__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,dirichlet_0_5,sgd,race_bin,42,completed,30,213.22587156295776,0.45147679324894513,0.06492742710075294,0.0798814308209358
113,r113__A3_D1__split_dirichlet_0_5__opt_adamw__attr_race_bin__seed_42,attack_defense,A3_D1,A3,D1,dirichlet_0_5,adamw,race_bin,42,completed,30,227.07201504707336,0.9156118143459916,0.02245994852635036,0.03796179985183754
